Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.5,168.6,1.821,0.2692,-1.5518
-47.5,168.6333333,1.866,0.2687,-1.5973
-47.5,168.6666667,1.911,0.2682,-1.6428
-47.5,168.7,1.958,0.2678,-1.6902
-47.5,168.7333333,2.005,0.2673,-1.7377
-47.5,168.7666667,2.049,0.2669,-1.7821
-47.5,168.8,2.093,0.2665,-1.8265
-47.5,168.8333333,2.134,0.266,-1.868
-47.5,168.8666667,2.172,0.2657,-1.9063
-47.5,168.9,2.211,0.2653,-1.9457
-47.5,168.9333333,2.252,0.2649,-1.9871
-47.5,168.9666667,2.299,0.2646,-2.0344
-47.5,169,2.351,0.2642,-2.0868
-47.5,169.0333333,2.407,0.2639,-2.1431
-47.5,169.0666667,2.464,0.2636,-2.2004
-47.5,169.1,2.519,0.2633,-2.2557
-47.5,169.1333333,2.569,0.2631,-2.3059
-47.5,169.1666667,2.611,0.2628,-2.3482
-47.5,169.2,2.641,0.2626,-2.3784
-47.5,169.2333333,2.66,0.2624,-2.3976
-47.5,169.2666667,2.669,0.2622,-2.4068
-47.5,169.3,2.668,0.262,-2.406
-47.5,169.3333333,2.661,0.2618,-2.3992
-47.5,169.3666667,2.649,0.2616,-2.3874
-47.5,169.4,2.637,0.2615,-2.3755
-47.5,169.4333333,2.625,0.2613,-2.3637
-47.5,169.4666667,2.614,0.2612,-2.3528
-47.5,169.5,2.607,0.2611,-2.3459
-47.5,169.5333333,2.607,0.261,-2.346
-47.5,169.5666667,2.611,0.2609,-2.3501
-47.5,169.6,2.621,0.2608,-2.3602
-47.5,169.6333333,2.635,0.2607,-2.3743
-47.5,169.6666667,2.653,0.2606,-2.3924
-47.5,169.7,2.675,0.2605,-2.4145
-47.5,169.7333333,2.7,0.2605,-2.4395
-47.5,169.7666667,2.728,0.2604,-2.4676
-47.5,169.8,2.76,0.2603,-2.4997
-47.5,169.8333333,2.796,0.2603,-2.5357
-47.5,169.8666667,2.835,0.2602,-2.5748
-47.5,169.9,2.877,0.2602,-2.6168
-47.5,169.9333333,2.92,0.2601,-2.6599
-47.5,169.9666667,2.964,0.2601,-2.7039
-47.5,170,3.007,0.2601,-2.7469
-47.5,170.0333333,3.05,0.2601,-2.7899
-47.5,170.0666667,3.091,0.26,-2.831
-47.5,170.1,3.132,0.26,-2.872
-47.5,170.1333333,3.173,0.26,-2.913
-47.5,170.1666667,3.215,0.26,-2.955
-47.5,170.2,3.254,0.26,-2.994
