Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.36666667,168.7666667,1.263,0.2705,-0.9925
-47.36666667,168.8,1.313,0.2713,-1.0417
-47.36666667,168.8333333,1.363,0.2721,-1.0909
-47.36666667,168.8666667,1.408,0.2729,-1.1351
-47.36666667,168.9,1.45,0.2737,-1.1763
-47.36666667,168.9333333,1.491,0.2745,-1.2165
-47.36666667,168.9666667,1.531,0.2753,-1.2557
-47.36666667,169,1.569,0.2761,-1.2929
-47.36666667,169.0333333,1.609,0.2768,-1.3322
-47.36666667,169.0666667,1.649,0.2776,-1.3714
-47.36666667,169.1,1.691,0.2783,-1.4127
-47.36666667,169.1333333,1.733,0.2791,-1.4539
-47.36666667,169.1666667,1.776,0.2798,-1.4962
-47.36666667,169.2,1.818,0.2805,-1.5375
-47.36666667,169.2333333,1.86,0.2812,-1.5788
-47.36666667,169.2666667,1.9,0.2818,-1.6182
-47.36666667,169.3,1.938,0.2825,-1.6555
-47.36666667,169.3333333,1.965,0.2831,-1.6819
-47.36666667,169.3666667,1.985,0.2837,-1.7013
-47.36666667,169.4,1.997,0.2843,-1.7127
-47.36666667,169.4333333,2.006,0.2848,-1.7212
-47.36666667,169.4666667,2.007,0.2854,-1.7216
-47.36666667,169.5,2.008,0.2859,-1.7221
-47.36666667,169.5333333,2.01,0.2864,-1.7236
-47.36666667,169.5666667,2.017,0.2868,-1.7302
-47.36666667,169.6,2.028,0.2873,-1.7407
-47.36666667,169.6333333,2.047,0.2877,-1.7593
-47.36666667,169.6666667,2.073,0.2881,-1.7849
-47.36666667,169.7,2.106,0.2884,-1.8176
-47.36666667,169.7333333,2.142,0.2887,-1.8533
-47.36666667,169.7666667,2.183,0.289,-1.894
-47.36666667,169.8,2.225,0.2893,-1.9357
-47.36666667,169.8333333,2.27,0.2896,-1.9804
-47.36666667,169.8666667,2.318,0.2899,-2.0281
-47.36666667,169.9,2.365,0.2901,-2.0749
-47.36666667,169.9333333,2.413,0.2903,-2.1227
-47.36666667,169.9666667,2.46,0.2905,-2.1695
-47.36666667,170,2.506,0.2907,-2.2153
-47.36666667,170.0333333,2.55,0.2537,-2.2963
-47.36666667,170.0666667,2.594,0.2537,-2.3403
-47.36666667,170.1,2.635,0.2537,-2.3813
-47.36666667,170.1333333,2.677,0.2537,-2.4233
-47.36666667,170.1666667,2.716,0.2537,-2.4623
-47.36666667,170.2,2.751,0.2537,-2.4973
-47.36666667,170.2333333,2.784,0.2537,-2.5303
-47.36666667,170.2666667,2.812,0.2537,-2.5583
-47.36666667,170.3,2.837,0.2537,-2.5833
-47.36666667,170.3333333,2.861,0.2537,-2.6073
-47.36666667,170.3666667,2.883,0.2537,-2.6293
-47.36666667,170.4,2.906,0.2537,-2.6523
-47.36666667,170.4333333,2.931,0.2537,-2.6773
-47.36666667,170.4666667,2.955,0.2537,-2.7013
-47.36666667,170.5,2.983,0.2537,-2.7293
-47.36666667,170.5333333,3.012,0.2537,-2.7583
-47.36666667,170.5666667,3.042,0.2537,-2.7883
