Lat,Long,Geoid2016,AUK46,AUCK46_NZVD2016
-38.6,176.2333333,-26.927,0.3002,27.2272
-38.6,176.2666667,-26.922,0.3002,27.2222
-38.6,176.3,-26.918,0.3002,27.2182
-38.6,176.3333333,-26.938,0.3002,27.2382
-38.6,176.3666667,-26.946,0.3002,27.2462
-38.6,176.4,-26.918,0.3002,27.2182
-38.6,176.4333333,-26.823,0.3002,27.1232
-38.6,176.4666667,-26.71,0.3002,27.0102
-38.6,176.5,-26.567,0.3002,26.8672
-38.6,176.5333333,-26.419,0.3002,26.7192
-38.6,176.5666667,-26.28,0.3002,26.5802
-38.6,176.6,-26.14,0.3002,26.4402
-38.6,176.6333333,-26.02,0.3002,26.3202
-38.6,176.6666667,-25.896,0.3002,26.1962
-38.6,176.7,-25.759,0.3002,26.0592
-38.6,176.7333333,-25.628,0.3002,25.9282
-38.6,176.7666667,-25.511,0.3002,25.8112
-38.6,176.8,-25.458,0.3002,25.7582
-38.6,176.8333333,-25.361,0.3002,25.6612
-38.6,176.8666667,-25.26,0.3002,25.5602
-38.6,176.9,-25.122,0.3002,25.4222
-38.6,176.9333333,-24.971,0.3002,25.2712
-38.6,176.9666667,-24.817,0.3002,25.1172
-38.6,177,-24.75,0.3001,25.0501
-38.6,177.0333333,-24.687,0.3001,24.9871
-38.6,177.0666667,-24.581,0.3001,24.8811
-38.6,177.1,-24.491,0.3001,24.7911
-38.6,177.1333333,-24.424,0.3001,24.7241
-38.6,177.1666667,-24.291,0.3001,24.5911
-38.6,177.2,-24.07,0.3001,24.3701
-38.6,177.2333333,-23.885,0.3001,24.1851
-38.6,177.2666667,-23.733,0.3001,24.0331
-38.6,177.3,-23.578,0.3001,23.8781
-38.6,177.3333333,-23.435,0.3001,23.7351
-38.6,177.3666667,-23.27,0.3001,23.5701
-38.6,177.4,-23.108,0.3001,23.4081
-38.6,177.4333333,-22.979,0.2919,23.2709
-38.56666667,172.8,-25.004,0.2919,25.2959
-38.56666667,172.8333333,-25.066,0.2919,25.3579
-38.56666667,172.8666667,-25.12,0.2919,25.4119
-38.56666667,172.9,-25.172,0.2919,25.4639
-38.56666667,172.9333333,-25.217,0.2919,25.5089
-38.56666667,172.9666667,-25.265,0.2919,25.5569
-38.56666667,173,-25.308,0.2919,25.5999
-38.56666667,173.0333333,-25.351,0.2919,25.6429
-38.56666667,173.0666667,-25.392,0.2919,25.6839
-38.56666667,173.1,-25.439,0.2919,25.7309
-38.56666667,173.1333333,-25.485,0.2919,25.7769
-38.56666667,173.1666667,-25.533,0.2919,25.8249
-38.56666667,173.2,-25.582,0.2919,25.8739
-38.56666667,173.2333333,-25.627,0.2919,25.9189
-38.56666667,173.2666667,-25.673,0.2919,25.9649
-38.56666667,173.3,-25.705,0.2919,25.9969
-38.56666667,173.3333333,-25.73,0.2919,26.0219
-38.56666667,173.3666667,-25.742,0.2919,26.0339
-38.56666667,173.4,-25.746,0.2919,26.0379
-38.56666667,173.4333333,-25.739,0.2919,26.0309
-38.56666667,173.4666667,-25.732,0.2919,26.0239
-38.56666667,173.5,-25.725,0.2919,26.0169
-38.56666667,173.5333333,-25.725,0.2919,26.0169
-38.56666667,173.5666667,-25.737,0.2919,26.0289
-38.56666667,173.6,-25.743,0.2919,26.0349
-38.56666667,173.6333333,-25.749,0.2919,26.0409
-38.56666667,173.6666667,-25.75,0.2947,26.0447
-38.56666667,173.7,-25.749,0.2947,26.0437
-38.56666667,173.7333333,-25.754,0.2948,26.0488
-38.56666667,173.7666667,-25.765,0.2948,26.0598
-38.56666667,173.8,-25.783,0.2948,26.0778
-38.56666667,173.8333333,-25.806,0.2948,26.1008
-38.56666667,173.8666667,-25.833,0.2948,26.1278
-38.56666667,173.9,-25.861,0.2948,26.1558
-38.56666667,173.9333333,-25.892,0.2948,26.1868
-38.56666667,173.9666667,-25.926,0.2948,26.2208
-38.56666667,174,-25.956,0.2948,26.2508
-38.56666667,174.0333333,-25.978,0.2948,26.2728
-38.56666667,174.0666667,-25.988,0.2948,26.2828
-38.56666667,174.1,-25.988,0.2948,26.2828
-38.56666667,174.1333333,-25.987,0.2948,26.2818
-38.56666667,174.1666667,-25.983,0.2948,26.2778
-38.56666667,174.2,-25.99,0.2949,26.2849
-38.56666667,174.2333333,-26.009,0.2949,26.3039
-38.56666667,174.2666667,-26.045,0.2949,26.3399
-38.56666667,174.3,-26.095,0.2949,26.3899
-38.56666667,174.3333333,-26.164,0.2949,26.4589
-38.56666667,174.3666667,-26.25,0.2949,26.5449
-38.56666667,174.4,-26.347,0.2949,26.6419
-38.56666667,174.4333333,-26.453,0.295,26.748
-38.56666667,174.4666667,-26.563,0.295,26.858
-38.56666667,174.5,-26.68,0.295,26.975
-38.56666667,174.5333333,-26.807,0.295,27.102
-38.56666667,174.5666667,-26.948,0.2951,27.2431
-38.56666667,174.6,-27.101,0.2951,27.3961
-38.56666667,174.6333333,-27.274,0.2951,27.5691
-38.56666667,174.6666667,-27.454,0.2951,27.7491
-38.56666667,174.7,-27.592,0.2952,27.8872
-38.56666667,174.7333333,-27.712,0.2952,28.0072
-38.56666667,174.7666667,-27.828,0.2953,28.1233
-38.56666667,174.8,-27.869,0.2953,28.1643
-38.56666667,174.8333333,-27.873,0.2954,28.1684
-38.56666667,174.8666667,-27.902,0.2955,28.1975
-38.56666667,174.9,-27.942,0.2956,28.2376
-38.56666667,174.9333333,-28.001,0.2956,28.2966
-38.56666667,174.9666667,-28.074,0.2957,28.3697
-38.56666667,175,-28.142,0.2959,28.4379
-38.56666667,175.0333333,-28.213,0.296,28.509
-38.56666667,175.0666667,-28.298,0.2961,28.5941
-38.56666667,175.1,-28.373,0.2962,28.6692
-38.56666667,175.1333333,-28.455,0.2964,28.7514
-38.56666667,175.1666667,-28.55,0.2965,28.8465
-38.56666667,175.2,-28.625,0.2967,28.9217
-38.56666667,175.2333333,-28.689,0.2968,28.9858
-38.56666667,175.2666667,-28.719,0.297,29.016
-38.56666667,175.3,-28.751,0.2972,29.0482
-38.56666667,175.3333333,-28.772,0.2974,29.0694
-38.56666667,175.3666667,-28.807,0.2976,29.1046
-38.56666667,175.4,-28.818,0.2977,29.1157
-38.56666667,175.4333333,-28.858,0.2979,29.1559
-38.56666667,175.4666667,-28.916,0.2981,29.2141
-38.56666667,175.5,-28.984,0.2983,29.2823
-38.56666667,175.5333333,-29.002,0.2984,29.3004
-38.56666667,175.5666667,-29.037,0.2986,29.3356
-38.56666667,175.6,-29.059,0.2988,29.3578
-38.56666667,175.6333333,-29.028,0.2989,29.3269
-38.56666667,175.6666667,-28.872,0.2991,29.1711
-38.56666667,175.7,-28.681,0.2992,28.9802
-38.56666667,175.7333333,-28.487,0.2993,28.7863
-38.56666667,175.7666667,-28.311,0.2995,28.6105
-38.56666667,175.8,-28.154,0.2996,28.4536
-38.56666667,175.8333333,-28.027,0.2997,28.3267
-38.56666667,175.8666667,-27.939,0.2997,28.2387
-38.56666667,175.9,-27.835,0.2998,28.1348
-38.56666667,175.9333333,-27.729,0.2999,28.0289
-38.56666667,175.9666667,-27.647,0.3,27.947
-38.56666667,176,-27.562,0.3,27.862
-38.56666667,176.0333333,-27.493,0.3001,27.7931
-38.56666667,176.0666667,-27.437,0.3001,27.7371
-38.56666667,176.1,-27.365,0.3001,27.6651
