Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.86666667,175.7666667,-16.184,0.3434,16.5274
-39.86666667,175.8,-16.379,0.3434,16.7224
-39.86666667,175.8333333,-16.594,0.3434,16.9374
-39.86666667,175.8666667,-16.812,0.3434,17.1554
-39.86666667,175.9,-17.01,0.3434,17.3534
-39.86666667,175.9333333,-17.239,0.3434,17.5824
-39.86666667,175.9666667,-17.496,0.3434,17.8394
-39.86666667,176,-17.791,0.3434,18.1344
-39.86666667,176.0333333,-18.127,0.3434,18.4704
-39.86666667,176.0666667,-18.415,0.3434,18.7584
-39.86666667,176.1,-18.518,0.3434,18.8614
-39.86666667,176.1333333,-18.625,0.3434,18.9684
-39.86666667,176.1666667,-18.466,0.3434,18.8094
-39.86666667,176.2,-18.308,0.3434,18.6514
-39.86666667,176.2333333,-18.18,0.3434,18.5234
-39.86666667,176.2666667,-18.098,0.3434,18.4414
-39.86666667,176.3,-18.037,0.3434,18.3804
-39.86666667,176.3333333,-18.007,0.3434,18.3504
-39.86666667,176.3666667,-17.997,0.3434,18.3404
-39.86666667,176.4,-18.003,0.3536,18.3566
-39.86666667,176.4333333,-18.035,0.3536,18.3886
-39.86666667,176.4666667,-18.094,0.3536,18.4476
-39.86666667,176.5,-18.167,0.3536,18.5206
-39.86666667,176.5333333,-18.263,0.3536,18.6166
-39.86666667,176.5666667,-18.358,0.3536,18.7116
-39.86666667,176.6,-18.431,0.3536,18.7846
-39.86666667,176.6333333,-18.482,0.3536,18.8356
-39.86666667,176.6666667,-18.554,0.3535,18.9075
-39.86666667,176.7,-18.637,0.3535,18.9905
-39.86666667,176.7333333,-18.742,0.3535,19.0955
-39.86666667,176.7666667,-18.87,0.3535,19.2235
-39.86666667,176.8,-18.991,0.3535,19.3445
-39.86666667,176.8333333,-19.115,0.3535,19.4685
-39.86666667,176.8666667,-19.26,0.3535,19.6135
-39.86666667,176.9,-19.345,0.3535,19.6985
-39.86666667,176.9333333,-19.342,0.3535,19.6955
-39.86666667,176.9666667,-19.343,0.3534,19.6964
-39.86666667,177,-19.337,0.3534,19.6904
-39.86666667,177.0333333,-19.352,0.3534,19.7054
-39.86666667,177.0666667,-19.364,0.3534,19.7174
-39.86666667,177.1,-19.375,0.3534,19.7284
-39.86666667,177.1333333,-19.384,0.3533,19.7373
-39.86666667,177.1666667,-19.381,0.3533,19.7343
-39.86666667,177.2,-19.38,0.3533,19.7333
-39.86666667,177.2333333,-19.393,0.3533,19.7463
-39.86666667,177.2666667,-19.407,0.3532,19.7602
-39.86666667,177.3,-19.426,0.3532,19.7792
-39.86666667,177.3333333,-19.452,0.3531,19.8051
-39.86666667,177.3666667,-19.481,0.3531,19.8341
-39.86666667,177.4,-19.508,0.353,19.861
-39.86666667,177.4333333,-19.533,0.353,19.886
-39.86666667,177.4666667,-19.551,0.3529,19.9039
-39.86666667,177.5,-19.562,0.3529,19.9149
-39.86666667,177.5333333,-19.567,0.3528,19.9198
-39.86666667,177.5666667,-19.567,0.3527,19.9197
-39.86666667,177.6,-19.567,0.3526,19.9196
-39.86666667,177.6333333,-19.573,0.3525,19.9255
-39.86666667,177.6666667,-19.581,0.3524,19.9334
-39.86666667,177.7,-19.596,0.3523,19.9483
-39.86666667,177.7333333,-19.618,0.3522,19.9702
-39.86666667,177.7666667,-19.647,0.3521,19.9991
-39.86666667,177.8,-19.684,0.3519,20.0359
-39.86666667,177.8333333,-19.731,0.3518,20.0828
-39.86666667,177.8666667,-19.787,0.3516,20.1386
-39.86666667,177.9,-19.845,0.3514,20.1964
-39.86666667,177.9333333,-19.905,0.3513,20.2563
-39.86666667,177.9666667,-19.962,0.3511,20.3131
-39.86666667,178,-20.017,0.3509,20.3679
-39.86666667,178.0333333,-20.073,0.3507,20.4237
-39.86666667,178.0666667,-20.133,0.3505,20.4835
-39.86666667,178.1,-20.194,0.3502,20.5442
-39.86666667,178.1333333,-20.256,0.35,20.606
-39.86666667,178.1666667,-20.306,0.3498,20.6558
-39.86666667,178.2,-20.334,0.3495,20.6835
-39.86666667,178.2333333,-20.332,0.3493,20.6813
-39.86666667,178.2666667,-20.305,0.349,20.654
-39.86666667,178.3,-20.255,0.3488,20.6038
-39.86666667,178.3333333,-20.179,0.3485,20.5275
-39.86666667,178.3666667,-20.082,0.3482,20.4302
-39.86666667,178.4,-19.967,0.348,20.315
-39.86666667,178.4333333,-19.839,0.3477,20.1867
-39.86666667,178.4666667,-19.691,0.3475,20.0385
-39.86666667,178.5,-19.544,0.3472,19.8912
-39.86666667,178.5333333,-19.404,0.3469,19.7509
-39.86666667,178.5666667,-19.278,0.3467,19.6247
-39.86666667,178.6,-19.168,0.3464,19.5144
-39.86666667,178.6333333,-19.083,0.3462,19.4292
-39.86666667,178.6666667,-19.024,0.3459,19.3699
-39.86666667,178.7,-18.99,0.3457,19.3357
-39.86666667,178.7333333,-18.969,0.3454,19.3144
-39.86666667,178.7666667,-18.967,0.3452,19.3122
-39.86666667,178.8,-18.981,0.3449,19.3259
-39.86666667,178.8333333,-19.004,0.3447,19.3487
-39.86666667,178.8666667,-19.041,0.3445,19.3855
-39.86666667,178.9,-19.089,0.3443,19.4333
-39.86666667,178.9333333,-19.145,0.3441,19.4891
-39.86666667,178.9666667,-19.211,0.3439,19.5549
-39.86666667,179,-19.285,0.3437,19.6287
-39.86666667,179.0333333,-19.37,0.3435,19.7135
-39.86666667,179.0666667,-19.464,0.3434,19.8074
-39.86666667,179.1,-19.567,0.3432,19.9102
-39.86666667,179.1333333,-19.674,0.3431,20.0171
-39.86666667,179.1666667,-19.786,0.3429,20.1289
-39.86666667,179.2,-19.894,0.3428,20.2368
-39.86666667,179.2333333,-19.995,0.3427,20.3377
-39.86666667,179.2666667,-20.087,0.3427,20.4297
-39.86666667,179.3,-20.169,0.3425,20.5115
-39.86666667,179.3333333,-20.244,0.3425,20.5865
-39.86666667,179.3666667,-20.31,0.3434,20.6534
-39.86666667,179.4,-20.367,0.3434,20.7104
-39.86666667,179.4333333,-20.412,0.3434,20.7554
-39.86666667,179.4666667,-20.45,0.3434,20.7934
-39.86666667,179.5,-20.48,0.3434,20.8234
-39.86666667,179.5333333,-20.507,0.3434,20.8504
-39.86666667,179.5666667,-20.536,0.3434,20.8794
-39.86666667,179.6,-20.568,0.3434,20.9114
-39.86666667,179.6333333,-20.603,0.3434,20.9464
-39.86666667,179.6666667,-20.641,0.3434,20.9844
-39.86666667,179.7,-20.679,0.3434,21.0224
-39.86666667,179.7333333,-20.714,0.3434,21.0574
-39.86666667,179.7666667,-20.747,0.3434,21.0904
-39.86666667,179.8,-20.78,0.3434,21.1234
-39.86666667,179.8333333,-20.81,0.3434,21.1534
-39.83333333,175.6666667,-16.081,0.3434,16.4244
-39.83333333,175.7,-16.209,0.3434,16.5524
-39.83333333,175.7333333,-16.358,0.3434,16.7014
-39.83333333,175.7666667,-16.509,0.3434,16.8524
-39.83333333,175.8,-16.679,0.3434,17.0224
-39.83333333,175.8333333,-16.876,0.3434,17.2194
-39.83333333,175.8666667,-17.049,0.3434,17.3924
-39.83333333,175.9,-17.243,0.3434,17.5864
-39.83333333,175.9333333,-17.462,0.3434,17.8054
-39.83333333,175.9666667,-17.688,0.3434,18.0314
-39.83333333,176,-17.934,0.3434,18.2774
-39.83333333,176.0333333,-18.221,0.3434,18.5644
-39.83333333,176.0666667,-18.574,0.3434,18.9174
-39.83333333,176.1,-18.763,0.3434,19.1064
-39.83333333,176.1333333,-18.84,0.3434,19.1834
-39.83333333,176.1666667,-18.69,0.3434,19.0334
-39.83333333,176.2,-18.512,0.3434,18.8554
-39.83333333,176.2333333,-18.362,0.3434,18.7054
