Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.56666667,177.4,-13.544,0.3093,13.8533
-41.56666667,177.4333333,-13.59,0.3093,13.8993
-41.56666667,177.4666667,-13.641,0.3093,13.9503
-41.56666667,177.5,-13.691,0.3093,14.0003
-41.56666667,177.5333333,-13.741,0.3093,14.0503
-41.56666667,177.5666667,-13.792,0.3093,14.1013
-41.56666667,177.6,-13.838,0.3093,14.1473
-41.56666667,177.6333333,-13.889,0.3093,14.1983
-41.56666667,177.6666667,-13.942,0.3093,14.2513
-41.56666667,177.7,-13.996,0.3093,14.3053
-41.56666667,177.7333333,-14.048,0.3093,14.3573
-41.56666667,177.7666667,-14.105,0.3093,14.4143
-41.56666667,177.8,-14.161,0.3093,14.4703
-41.56666667,177.8333333,-14.219,0.3093,14.5283
-41.56666667,177.8666667,-14.285,0.3093,14.5943
-41.56666667,177.9,-14.352,0.3093,14.6613
-41.56666667,177.9333333,-14.427,0.3093,14.7363
-41.56666667,177.9666667,-14.507,0.3093,14.8163
-41.56666667,178,-14.588,0.3093,14.8973
-41.56666667,178.0333333,-14.672,0.3093,14.9813
-41.56666667,178.0666667,-14.757,0.3093,15.0663
-41.56666667,178.1,-14.844,0.3093,15.1533
-41.56666667,178.1333333,-14.928,0.3093,15.2373
-41.56666667,178.1666667,-15.015,0.3093,15.3243
-41.56666667,178.2,-15.101,0.3093,15.4103
-41.56666667,178.2333333,-15.191,0.3093,15.5003
-41.56666667,178.2666667,-15.284,0.3093,15.5933
-41.56666667,178.3,-15.381,0.3093,15.6903
-41.56666667,178.3333333,-15.486,0.3093,15.7953
-41.56666667,178.3666667,-15.599,0.3093,15.9083
-41.56666667,178.4,-15.717,0.3093,16.0263
-41.56666667,178.4333333,-15.839,0.3093,16.1483
-41.56666667,178.4666667,-15.966,0.3093,16.2753
-41.56666667,178.5,-16.093,0.3093,16.4023
-41.56666667,178.5333333,-16.22,0.3093,16.5293
-41.56666667,178.5666667,-16.345,0.3093,16.6543
-41.56666667,178.6,-16.469,0.3093,16.7783
-41.56666667,178.6333333,-16.591,0.3093,16.9003
-41.53333333,173.4,-16.42,0.3093,16.7293
-41.53333333,173.4333333,-16.198,0.3093,16.5073
-41.53333333,173.4666667,-15.949,0.3093,16.2583
-41.53333333,173.5,-15.734,0.3093,16.0433
-41.53333333,173.5333333,-15.525,0.3093,15.8343
-41.53333333,173.5666667,-15.324,0.3093,15.6333
-41.53333333,173.6,-15.121,0.3093,15.4303
-41.53333333,173.6333333,-14.922,0.3093,15.2313
-41.53333333,173.6666667,-14.713,0.3093,15.0223
-41.53333333,173.7,-14.501,0.3093,14.8103
-41.53333333,173.7333333,-14.284,0.3093,14.5933
-41.53333333,173.7666667,-14.082,0.3093,14.3913
-41.53333333,173.8,-13.88,0.3093,14.1893
-41.53333333,173.8333333,-13.691,0.3093,14.0003
-41.53333333,173.8666667,-13.514,0.3093,13.8233
-41.53333333,173.9,-13.333,0.3093,13.6423
-41.53333333,173.9333333,-13.168,0.2871,13.4551
-41.53333333,173.9666667,-13.002,0.2871,13.2891
-41.53333333,174,-12.832,0.287,13.119
-41.53333333,174.0333333,-12.655,0.287,12.942
-41.53333333,174.0666667,-12.485,0.2869,12.7719
-41.53333333,174.1,-12.324,0.2868,12.6108
-41.53333333,174.1333333,-12.172,0.2867,12.4587
-41.53333333,174.1666667,-12.03,0.2866,12.3166
-41.53333333,174.2,-11.901,0.2865,12.1875
-41.53333333,174.2333333,-11.785,0.2864,12.0714
-41.53333333,174.2666667,-11.681,0.2862,11.9672
-41.53333333,174.3,-11.591,0.286,11.877
-41.53333333,174.3333333,-11.514,0.2859,11.7999
-41.53333333,174.3666667,-11.457,0.2857,11.7427
-41.53333333,174.4,-11.412,0.2855,11.6975
-41.53333333,174.4333333,-11.383,0.2853,11.6683
-41.53333333,174.4666667,-11.371,0.285,11.656
-41.53333333,174.5,-11.366,0.2848,11.6508
-41.53333333,174.5333333,-11.387,0.2845,11.6715
-41.53333333,174.5666667,-11.426,0.2843,11.7103
