Lat,Long,Geoid2016,NPR62,NPR62_NZVD2016
-41.26666667,176.4,-15.378,0.2427,15.6207
-41.26666667,176.4333333,-15.368,0.2427,15.6107
-41.26666667,176.4666667,-15.367,0.2426,15.6096
-41.26666667,176.5,-15.368,0.2426,15.6106
-41.26666667,176.5333333,-15.362,0.2425,15.6045
-41.26666667,176.5666667,-15.352,0.2424,15.5944
-41.26666667,176.6,-15.328,0.2423,15.5703
-41.26666667,176.6333333,-15.306,0.2422,15.5482
-41.26666667,176.6666667,-15.281,0.2421,15.5231
-41.26666667,176.7,-15.263,0.242,15.505
-41.26666667,176.7333333,-15.251,0.2418,15.4928
-41.26666667,176.7666667,-15.239,0.2417,15.4807
-41.26666667,176.8,-15.225,0.2415,15.4665
-41.26666667,176.8333333,-15.204,0.2413,15.4453
-41.26666667,176.8666667,-15.17,0.2411,15.4111
-41.26666667,176.9,-15.133,0.2409,15.3739
-41.26666667,176.9333333,-15.086,0.2407,15.3267
-41.26666667,176.9666667,-15.041,0.2405,15.2815
-41.26666667,177,-14.998,0.2403,15.2383
