Lat,Long,Geoid2016,WGN53,WGN53_NZVD2016
-42.36666667,176.2333333,-10.617,0.435,11.052
-42.36666667,176.2666667,-10.682,0.4352,11.1172
-42.36666667,176.3,-10.747,0.4353,11.1823
-42.36666667,176.3333333,-10.81,0.4355,11.2455
-42.36666667,176.3666667,-10.872,0.4356,11.3076
-42.36666667,176.4,-10.93,0.4357,11.3657
-42.36666667,176.4333333,-10.986,0.4358,11.4218
-42.36666667,176.4666667,-11.043,0.4082,11.4512
-42.36666667,176.5,-11.097,0.4082,11.5052
-42.36666667,176.5333333,-11.157,0.4082,11.5652
-42.36666667,176.5666667,-11.224,0.4082,11.6322
-42.36666667,176.6,-11.294,0.4082,11.7022
-42.36666667,176.6333333,-11.367,0.4082,11.7752
-42.36666667,176.6666667,-11.439,0.4082,11.8472
-42.36666667,176.7,-11.512,0.4082,11.9202
-42.36666667,176.7333333,-11.585,0.4082,11.9932
-42.36666667,176.7666667,-11.659,0.4082,12.0672
-42.36666667,176.8,-11.732,0.4082,12.1402
-42.36666667,176.8333333,-11.804,0.4082,12.2122
-42.36666667,176.8666667,-11.873,0.4082,12.2812
-42.36666667,176.9,-11.938,0.4082,12.3462
-42.36666667,176.9333333,-12.001,0.4082,12.4092
-42.36666667,176.9666667,-12.065,0.4082,12.4732
-42.36666667,177,-12.13,0.4082,12.5382
-42.36666667,177.0333333,-12.199,0.4082,12.6072
-42.36666667,177.0666667,-12.269,0.4082,12.6772
-42.36666667,177.1,-12.34,0.4082,12.7482
-42.36666667,177.1333333,-12.413,0.4082,12.8212
-42.36666667,177.1666667,-12.487,0.4082,12.8952
-42.36666667,177.2,-12.565,0.4082,12.9732
-42.36666667,177.2333333,-12.643,0.4082,13.0512
-42.36666667,177.2666667,-12.726,0.4082,13.1342
-42.36666667,177.3,-12.811,0.4082,13.2192
