Lat,Long,Geoid2016,NSN55,NSN55_NZVD16
-43.5,170.9,-14.233,0.3285,14.5615
-43.5,170.9333333,-14.359,0.3285,14.6875
-43.5,170.9666667,-14.231,0.3285,14.5595
-43.5,171,-14.326,0.3285,14.6545
-43.5,171.0333333,-14.328,0.3285,14.6565
-43.5,171.0666667,-14.212,0.3285,14.5405
-43.5,171.1,-14.206,0.3285,14.5345
-43.5,171.1333333,-14.028,0.3285,14.3565
-43.5,171.1666667,-13.949,0.3285,14.2775
-43.5,171.2,-13.991,0.3285,14.3195
-43.5,171.2333333,-14.116,0.3285,14.4445
-43.5,171.2666667,-14.31,0.3285,14.6385
-43.5,171.3,-14.615,0.3285,14.9435
-43.5,171.3333333,-14.734,0.3285,15.0625
-43.5,171.3666667,-14.589,0.3164,14.9054
-43.5,171.4,-14.414,0.3164,14.7304
-43.5,171.4333333,-14.247,0.3163,14.5633
-43.5,171.4666667,-14.26,0.3163,14.5763
-43.5,171.5,-14.305,0.3163,14.6213
-43.5,171.5333333,-14.176,0.3163,14.4923
-43.5,171.5666667,-13.916,0.3163,14.2323
-43.5,171.6,-13.644,0.3163,13.9603
-43.5,171.6333333,-13.507,0.3162,13.8232
-43.5,171.6666667,-13.44,0.3162,13.7562
-43.5,171.7,-13.408,0.3162,13.7242
-43.5,171.7333333,-13.338,0.3163,13.6543
-43.5,171.7666667,-13.267,0.3163,13.5833
-43.5,171.8,-13.203,0.3163,13.5193
-43.5,171.8333333,-13.123,0.3164,13.4394
-43.5,171.8666667,-13.032,0.3164,13.3484
-43.5,171.9,-12.947,0.3165,13.2635
-43.5,171.9333333,-12.856,0.3166,13.1726
-43.5,171.9666667,-12.772,0.3168,13.0888
-43.5,172,-12.7,0.3169,13.0169
-43.5,172.0333333,-12.641,0.3171,12.9581
-43.5,172.0666667,-12.59,0.3173,12.9073
-43.5,172.1,-12.543,0.3175,12.8605
-43.5,172.1333333,-12.498,0.3178,12.8158
-43.5,172.1666667,-12.453,0.3181,12.7711
-43.5,172.2,-12.412,0.3184,12.7304
-43.5,172.2333333,-12.371,0.3187,12.6897
-43.5,172.2666667,-12.333,0.3191,12.6521
-43.5,172.3,-12.295,0.3195,12.6145
-43.5,172.3333333,-12.258,0.3199,12.5779
-43.5,172.3666667,-12.222,0.3204,12.5424
-43.5,172.4,-12.187,0.3209,12.5079
-43.5,172.4333333,-12.154,0.3214,12.4754
-43.5,172.4666667,-12.123,0.322,12.445
-43.5,172.5,-12.096,0.3226,12.4186
-43.5,172.5333333,-12.071,0.3232,12.3942
-43.5,172.5666667,-12.048,0.3239,12.3719
-43.5,172.6,-12.026,0.3245,12.3505
-43.5,172.6333333,-12.005,0.3253,12.3303
-43.5,172.6666667,-11.985,0.326,12.311
-43.5,172.7,-11.968,0.3268,12.2948
-43.5,172.7333333,-11.955,0.3276,12.2826
-43.5,172.7666667,-11.948,0.3285,12.2765
-43.5,172.8,-11.947,0.3293,12.2763
-43.5,172.8333333,-11.946,0.3302,12.2762
-43.5,172.8666667,-11.941,0.3312,12.2722
-43.5,172.9,-11.928,0.3321,12.2601
-43.5,172.9333333,-11.904,0.3331,12.2371
-43.5,172.9666667,-11.874,0.3341,12.2081
-43.5,173,-11.839,0.3351,12.1741
-43.5,173.0333333,-11.803,0.3361,12.1391
-43.5,173.0666667,-11.769,0.3371,12.1061
-43.5,173.1,-11.737,0.3382,12.0752
-43.5,173.1333333,-11.709,0.3392,12.0482
-43.5,173.1666667,-11.682,0.3403,12.0223
-43.5,173.2,-11.657,0.3413,11.9983
-43.5,173.2333333,-11.632,0.3424,11.9744
-43.5,173.2666667,-11.611,0.3434,11.9544
-43.5,173.3,-11.592,0.3445,11.9365
-43.5,173.3333333,-11.575,0.3455,11.9205
-43.5,173.3666667,-11.56,0.3466,11.9066
-43.5,173.4,-11.546,0.3476,11.8936
-43.5,173.4333333,-11.533,0.3486,11.8816
-43.5,173.4666667,-11.523,0.3496,11.8726
-43.5,173.5,-11.517,0.3506,11.8676
-43.5,173.5333333,-11.521,0.3515,11.8725
-43.5,173.5666667,-11.532,0.3525,11.8845
-43.5,173.6,-11.544,0.3534,11.8974
-43.5,173.6333333,-11.557,0.3543,11.9113
-43.5,173.6666667,-11.567,0.3551,11.9221
-43.5,173.7,-11.572,0.3559,11.9279
-43.5,173.7333333,-11.574,0.3567,11.9307
-43.5,173.7666667,-11.573,0.3575,11.9305
-43.5,173.8,-11.569,0.3582,11.9272
-43.5,173.8333333,-11.562,0.3589,11.9209
-43.5,173.8666667,-11.553,0.3596,11.9126
-43.5,173.9,-11.543,0.3602,11.9032
-43.5,173.9333333,-11.53,0.3608,11.8908
-43.5,173.9666667,-11.515,0.3614,11.8764
-43.5,174,-11.496,0.3619,11.8579
-43.5,174.0333333,-11.48,0.3624,11.8424
-43.5,174.0666667,-11.469,0.3628,11.8318
-43.5,174.1,-11.468,0.3632,11.8312
-43.5,174.1333333,-11.48,0.3636,11.8436
-43.5,174.1666667,-11.502,0.3639,11.8659
-43.5,174.2,-11.533,0.3642,11.8972
-43.5,174.2333333,-11.569,0.3644,11.9334
-43.5,174.2666667,-11.608,0.3645,11.9725
-43.5,174.3,-11.652,0.3285,11.9805
-43.5,174.3333333,-11.703,0.3285,12.0315
